Designator,Mid X,Mid Y,Layer,Rotation
C2,138.15,-106.10,T,270.00
C3,147.10,-117.60,T,90.00
C4,157.85,-118.40,T,0.00
C5,156.74,-116.52,T,180.00
C6,143.10,-104.40,T,270.00
C7,145.22,-117.60,T,90.00
C9,144.10,-113.95,T,0.00
C10,157.10,-113.70,T,180.00
C11,158.20,-112.30,T,90.00
C12,157.10,-112.60,T,180.00
C13,144.15,-103.35,T,0.00
C14,157.10,-110.90,T,180.00
C15,157.00,-110.00,T,180.00
C16,158.40,-109.50,T,180.00
C17,157.00,-108.90,T,180.00
C18,158.40,-108.30,T,180.00
C19,157.00,-107.90,T,180.00
C20,158.42,-107.10,T,180.00
C21,146.10,-99.90,T,90.00
C22,157.00,-106.50,T,180.00
C23,146.40,-104.75,T,270.00
C24,147.20,-105.00,T,270.00
C25,148.80,-105.00,T,270.00
C26,150.60,-105.00,T,270.00
C27,152.90,-104.30,T,270.00
C28,146.20,-102.90,T,90.00
C29,149.60,-102.90,T,270.00
C32,139.80,-95.50,T,0.00
C33,141.53,-94.35,T,180.00
C34,141.53,-92.88,T,180.00
C37,142.80,-97.75,T,180.00
C38,147.70,-95.60,T,0.00
C46,144.20,-91.40,T,0.00
C47,144.18,-89.92,T,0.00
C48,146.00,-88.48,T,90.00
C49,142.50,-86.45,T,0.00
C50,143.50,-108.80,T,270.00
D1,150.50,-102.72,T,270.00
D2,138.70,-99.60,T,90.00
D3,138.75,-85.95,T,90.00
IC1,141.21,-117.84,T,270.00
IC2,141.80,-96.03,T,0.00
IC4,143.84,-88.23,T,180.00
J1,153.30,-93.10,T,90.00
L1,140.14,-89.83,T,90.00
L2,144.60,-94.45,T,270.00
Q2,139.95,-104.94,T,90.00
R1,142.35,-103.15,T,90.00
R2,141.80,-101.68,T,270.00
R3,146.00,-117.60,T,270.00
R4,143.80,-104.40,T,270.00
R5,157.10,-111.80,T,0.00
R6,158.65,-113.78,T,270.00
R7,157.40,-105.40,T,90.00
R8,158.50,-110.90,T,270.00
R9,140.35,-84.85,T,0.00
R10,147.70,-96.80,T,0.00
R11,147.70,-97.90,T,0.00
R12,147.70,-89.50,T,0.00
R13,147.70,-90.90,T,0.00
R14,147.70,-88.00,T,0.00
R18,153.10,-102.00,T,90.00
R19,147.70,-91.80,T,0.00
R22,145.44,-86.48,T,90.00
R23,140.25,-98.63,T,270.00
R24,144.69,-86.48,T,270.00
R25,139.50,-96.65,T,90.00
R26,140.60,-97.40,T,180.00
R27,149.50,-104.97,T,90.00
R28,153.47,-117.66,T,270.00
R29,147.77,-120.75,T,180.00
R30,140.65,-102.84,T,0.00
R31,139.55,-102.61,T,270.00
U2,150.40,-111.30,T,0.00
U5,140.30,-110.60,T,0.00
Y1,144.50,-100.95,T,270.00
Y2,147.95,-102.65,T,270.00
